"fixNum","session","subj","meanX","nFix"
5,"1","9",-165.733333333333,15
5,"1","10",-148.363636363636,11
5,"1","11",74.0769230769231,39
5,"1","12",-192.7,20
5,"1","13",-202.631578947368,19
5,"1","15",125.157894736842,19
5,"1","16",78.1176470588235,17
5,"1","18",73.5555555555556,9
5,"1","19",388.882352941176,17
5,"1","20",-119.636363636364,11
5,"2","1",-287.35,20
5,"2","2",-38.6315789473684,38
5,"2","5",167.611111111111,18
5,"2","6",-177.368421052632,19
5,"2","7",25.2631578947368,19
5,"2","8",-240.8,20
5,"2","9",-20.95,20
5,"2","10",-179,11
5,"2","12",-89.3684210526316,19
5,"2","13",-276.416666666667,12
5,"2","15",5.82352941176471,17
5,"2","16",150.4375,16
5,"2","17",41.2,35
5,"2","18",-88.7368421052632,19
5,"2","19",365.222222222222,18
5,"2","20",-255.25,4
6,"1","1",-236.333333333333,18
6,"1","5",97.9411764705882,17
6,"1","6",-65.3888888888889,18
6,"1","7",139.428571428571,14
6,"1","8",-138.705882352941,17
6,"1","9",-21.9333333333333,15
6,"1","10",-124.545454545455,11
6,"1","11",116.282051282051,39
6,"1","12",-130.8,20
6,"1","13",-190.736842105263,19
6,"1","15",82.9444444444444,18
6,"1","16",141.352941176471,17
6,"1","18",-59.1111111111111,9
6,"1","19",419,17
6,"1","20",-26.1818181818182,11
6,"2","1",-283.85,20
6,"2","2",-34.2105263157895,38
6,"2","5",230.444444444444,18
6,"2","6",-274.157894736842,19
6,"2","7",-173.526315789474,19
6,"2","8",-157.65,20
6,"2","9",9.9,20
6,"2","10",-3,11
6,"2","12",-75.9473684210526,19
6,"2","13",-142.75,12
6,"2","15",66.3333333333333,15
6,"2","16",277.5,16
6,"2","17",49.7428571428571,35
6,"2","18",-152.736842105263,19
6,"2","19",417.944444444444,18
6,"2","20",-30.75,4
7,"1","1",-219.388888888889,18
7,"1","5",143.647058823529,17
7,"1","6",-94.2941176470588,17
7,"1","7",114.857142857143,14
7,"1","8",-65.3529411764706,17
7,"1","9",118.2,15
7,"1","10",-149,11
7,"1","11",145.128205128205,39
7,"1","12",-121.05,20
7,"1","13",-162.263157894737,19
7,"1","15",75.4444444444444,18
7,"1","16",139.764705882353,17
7,"1","18",-99,9
7,"1","19",413.941176470588,17
7,"1","20",15.7272727272727,11
7,"2","1",-208,20
7,"2","2",-22.6052631578947,38
7,"2","5",97.3333333333333,18
7,"2","6",-233.631578947368,19
7,"2","7",-118.736842105263,19
7,"2","8",-118,20
7,"2","9",70.55,20
7,"2","10",100.181818181818,11
7,"2","12",-74.2105263157895,19
7,"2","13",-184.166666666667,12
7,"2","15",58.2666666666667,15
7,"2","16",210.5,16
7,"2","17",13.9428571428571,35
7,"2","18",-199.894736842105,19
7,"2","19",457.625,16
7,"2","20",-90.25,4
8,"1","1",-49.9444444444444,18
8,"1","5",106.176470588235,17
8,"1","6",34.6666666666667,15
8,"1","7",59.7142857142857,14
8,"1","8",-73.2941176470588,17
8,"1","9",177.866666666667,15
8,"1","10",-85.1818181818182,11
8,"1","11",142.947368421053,38
8,"1","12",-69,20
8,"1","13",-229.578947368421,19
8,"1","15",78.2352941176471,17
8,"1","16",45.5294117647059,17
8,"1","18",-89.6666666666667,9
8,"1","19",392.25,16
8,"1","20",-85.4,10
8,"2","1",-192.5,20
8,"2","2",9.1578947368421,38
8,"2","5",-57.0555555555556,18
8,"2","6",-120,19
8,"2","7",-62.9473684210526,19
8,"2","8",32.3,20
8,"2","9",104,20
8,"2","10",54.2727272727273,11
8,"2","12",-99.4210526315789,19
8,"2","13",-125.416666666667,12
8,"2","15",115.857142857143,14
8,"2","16",49.4375,16
8,"2","17",29,34
8,"2","18",-261.684210526316,19
8,"2","19",463.769230769231,13
8,"2","20",132.75,4
9,"1","1",60.8888888888889,18
9,"1","5",161.352941176471,17
9,"1","6",64.2142857142857,14
9,"1","7",-23.7142857142857,14
9,"1","8",53.875,16
9,"1","9",-64.1333333333333,15
9,"1","10",-82.6363636363636,11
9,"1","11",189.657894736842,38
9,"1","12",-120.25,20
9,"1","13",-248.263157894737,19
9,"1","15",52.2941176470588,17
9,"1","16",60.6470588235294,17
9,"1","18",-187.222222222222,9
9,"1","19",451.846153846154,13
9,"1","20",-172.666666666667,9
9,"2","1",-56.0526315789474,19
9,"2","2",-72.3142857142857,35
9,"2","5",25.8888888888889,18
9,"2","6",-120.555555555556,18
9,"2","7",-111.684210526316,19
9,"2","8",85.2,20
9,"2","9",96,20
9,"2","10",-33.0909090909091,11
9,"2","12",-175.578947368421,19
9,"2","13",60.25,12
9,"2","15",13.5384615384615,13
9,"2","16",163.5625,16
9,"2","17",92.9117647058823,34
9,"2","18",-306.894736842105,19
9,"2","19",439.545454545455,11
9,"2","20",172,2
10,"1","1",-122,15
10,"1","5",129.6,15
10,"1","6",-65.9285714285714,14
10,"1","7",-16.8461538461538,13
10,"1","8",69.6666666666667,15
10,"1","9",-42.5333333333333,15
10,"1","10",-9.36363636363636,11
10,"1","11",197.828571428571,35
10,"1","12",-72.8947368421053,19
10,"1","13",-231.947368421053,19
10,"1","15",-41.3125,16
10,"1","16",58.375,16
10,"1","18",-222.875,8
10,"1","19",426.8,10
10,"1","20",-36.125,8
10,"2","1",-67.2105263157895,19
10,"2","2",-42.84375,32
10,"2","5",84.0555555555556,18
10,"2","6",-147.538461538462,13
10,"2","7",-35.875,16
10,"2","8",-43.6315789473684,19
10,"2","9",20.4210526315789,19
10,"2","10",-39.4545454545455,11
10,"2","12",-87.2777777777778,18
10,"2","13",-39.75,12
10,"2","15",77.8333333333333,12
10,"2","16",205.0625,16
10,"2","17",38.1333333333333,30
10,"2","18",-329.789473684211,19
10,"2","19",451,7
10,"2","20",-463,1
11,"1","1",-114.916666666667,12
11,"1","5",4.42857142857143,14
11,"1","6",12.3333333333333,6
11,"1","7",-64,7
11,"1","8",-42.25,12
11,"1","9",20.6666666666667,9
11,"1","10",1.81818181818182,11
11,"1","11",179.896551724138,29
